NCLOC;DCP;NOCom;WMC;;Rang NCLOC;Rang DCP;Rang NOCom;Rang WMC
298;55,79;16;44;;75;367;25;150
109;66,36;7;40;;245;231;211;182
5;91,67;5;7;;574;21;311;539
276;40,39;8;41;;83;584;165;171
74;61,66;6;29;;309;283;259;254
228;51,18;10;51;;112;439;109;120
100;58,68;11;46;;260;328;88;139
131;57,05;10;30;;214;354;109;242
7;88,14;4;10;;519;107;380;465
14;86,27;4;13;;462;138;380;404
12;80,65;3;7;;474;167;466;539
5;90,2;4;10;;574;59;380;465
373;50,4;16;83;;55;453;25;59
279;50,36;10;43;;82;455;109;158
5;92,06;4;7;;574;10;380;539
159;55,96;12;37;;177;363;62;204
327;52,61;16;76;;69;421;25;67
149;53,73;10;44;;192;401;109;150
181;53,71;10;36;;154;402;109;212
417;54,58;11;101;;44;384;88;43
6;87,5;6;7;;531;115;259;539
12;86,36;5;7;;474;135;311;539
507;47,95;15;103;;32;500;34;41
455;39,74;3;113;;37;590;466;35
82;58,38;8;36;;288;340;165;212
268;55,56;13;61;;87;372;51;95
89;55,05;9;20;;275;377;139;324
643;44,71;19;111;;24;544;17;37
11;86,25;4;12;;490;139;380;422
24;75;2;9;;447;192;539;482
355;38,15;5;71;;61;601;311;73
106;46,46;2;31;;250;524;539;233
6;87,5;2;7;;531;115;539;539
114;54,94;2;25;;237;379;539;282
1547;47,04;6;327;;4;512;259;6
81;66,11;2;9;;291;235;539;482
656;50,27;22;190;;22;457;9;14
11;83,08;4;8;;490;154;380;507
117;55,68;11;28;;231;371;88;259
14;77,05;4;7;;462;184;380;539
11;82,26;6;6;;490;159;259;594
988;46,33;27;249;;9;527;6;8
331;47,46;22;70;;68;505;9;75
5;91,38;5;7;;574;32;311;539
677;47,15;24;114;;20;508;7;34
764;47,09;20;157;;16;510;14;22
6;88,68;4;8;;531;90;380;507
43;68,15;4;15;;396;224;380;376
237;39,07;10;33;;104;593;109;223
6;88,46;2;7;;531;99;539;539
2732;45,15;31;802;;1;537;2;1
18;88,08;6;25;;454;109;259;282
1235;55,48;30;346;;6;374;3;5
6;89,66;4;7;;531;73;380;539
925;40,01;28;185;;12;589;5;15
192;35,79;10;36;;146;617;109;212
11;86,9;7;14;;490;132;211;388
683;43,08;16;168;;19;559;25;19
596;41,11;16;122;;28;576;25;33
170;88,19;16;201;;169;106;25;10
64;65,59;3;19;;337;241;466;337
174;46,3;8;41;;166;528;165;171
7;86,54;2;8;;519;133;539;507
351;36,76;12;58;;63;613;62;104
215;36,76;7;38;;122;613;211;195
218;34,34;9;40;;119;622;139;182
117;46,82;6;28;;231;516;259;259
291;32,01;12;80;;78;629;62;62
222;44,91;12;42;;116;540;62;164
