NCLOC;DCP;NOCom;WMC;;;;;;;;;;;;;;
28;69,57;7;6;;;;;;;;;;;;;;
76;55,29;9;15;;;;;;;;;;;;;;
112;47,17;10;42;;;;;;;;;;;;;;
11;87,06;6;12;;;;;;;;;;;;;;
5;90,74;4;9;;;;;;;;;;;;;;
47;64,66;6;33;;;;;;;;;;;;;;
57;60,42;8;26;;;;;;;;;;;;;;
43;63,87;3;25;;;;;;;;;;;;;;
57;58,39;5;22;;;;;;;;;;;;;;
47;59,13;2;16;;;;;;;;;;;;;;
85;63,04;7;38;;;;;;;;;;;;;;
37;71,32;8;25;;;;;;;;;;;;;;
58;66,47;6;48;;;;;;;;;;;;;;
58;61,59;9;30;;;;;;;;;;;;;;
59;66,09;6;44;;;;;;;;;;;;;;
109;52,81;7;54;;;;;;;;;;;;;;
70;55,13;5;20;;;;;;;;;;;;;;
5;90,74;4;10;;;;;;;;;;;;;;
5;91,23;5;12;;;;;;;;;;;;;;
5;90,57;4;9;;;;;;;;;;;;;;
5;90,57;4;8;;;;;;;;;;;;;;
334;51,1;8;70;;;;;;;;;;;;;;
468;52,39;6;79;;;;;;;;;;;;;;
69;59,41;3;10;;;;;;;;;;;;;;
56;60,56;3;12;;;;;;;;;;;;;;
5;90;2;6;;;;;;;;;;;;;;
5;88,89;2;7;;;;;;;;;;;;;;
347;43,76;7;71;;;;;;;;;;;;;;
392;40,79;5;70;;;;;;;;;;;;;;
64;59,24;4;19;;;;;;;;;;;;;;
69;60,34;7;19;;;;;;;;;;;;;;
2415;46,61;32;683;;;;;;;;;;;;;;
6;87,23;3;7;;;;;;;;;;;;;;
358;41,6;14;89;;;;;;;;;;;;;;
396;42,69;15;104;;;;;;;;;;;;;;
307;40,39;12;78;;;;;;;;;;;;;;
371;42,57;16;97;;;;;;;;;;;;;;
78;50;2;20;;;;;;;;;;;;;;
438;43,56;5;68;;;;;;;;;;;;;;
41;62,73;2;15;;;;;;;;;;;;;;
87;45,96;2;21;;;;;;;;;;;;;;
178;52,66;3;37;;;;;;;;;;;;;;
61;53,79;3;17;;;;;;;;;;;;;;
59;54,62;3;17;;;;;;;;;;;;;;
51;57,5;2;17;;;;;;;;;;;;;;
70;50;2;21;;;;;;;;;;;;;;
49;58,82;2;20;;;;;;;;;;;;;;
45;58,72;2;14;;;;;;;;;;;;;;
298;55,79;16;44;;;;;;;;;;;;;;
109;66,36;7;40;;;;;;;;;;;;;;
5;91,67;5;7;;;;;;;;;;;;;;
276;40,39;8;41;;;;;;;;;;;;;;
74;61,66;6;29;;;;;;;;;;;;;;
228;51,18;10;51;;;;;;;;;;;;;;
100;58,68;11;46;;;;;;;;;;;;;;
131;57,05;10;30;;;;;;;;;;;;;;
7;88,14;4;10;;;;;;;;;;;;;;
14;86,27;4;13;;;;;;;;;;;;;;
12;80,65;3;7;;;;;;;;;;;;;;
5;90,2;4;10;;;;;;;;;;;;;;
373;50,4;16;83;;;;;;;;;;;;;;
279;50,36;10;43;;;;;;;;;;;;;;
5;92,06;4;7;;;;;;;;;;;;;;
159;55,96;12;37;;;;;;;;;;;;;;
327;52,61;16;76;;;;;;;;;;;;;;
149;53,73;10;44;;;;;;;;;;;;;;
181;53,71;10;36;;;;;;;;;;;;;;
417;54,58;11;101;;;;;;;;;;;;;;
6;87,5;6;7;;;;;;;;;;;;;;
12;86,36;5;7;;;;;;;;;;;;;;
507;47,95;15;103;;;;;;;;;;;;;;
455;39,74;3;113;;;;;;;;;;;;;;
82;58,38;8;36;;;;;;;;;;;;;;
268;55,56;13;61;;;;;;;;;;;;;;
89;55,05;9;20;;;;;;;;;;;;;;
643;44,71;19;111;;;;;;;;;;;;;;
11;86,25;4;12;;;;;;;;;;;;;;
24;75;2;9;;;;;;;;;;;;;;
355;38,15;5;71;;;;;;;;;;;;;;
106;46,46;2;31;;;;;;;;;;;;;;
6;87,5;2;7;;;;;;;;;;;;;;
114;54,94;2;25;;;;;;;;;;;;;;
1547;47,04;6;327;;;;;;;;;;;;;;
81;66,11;2;9;;;;;;;;;;;;;;
656;50,27;22;190;;;;;;;;;;;;;;
11;83,08;4;8;;;;;;;;;;;;;;
117;55,68;11;28;;;;;;;;;;;;;;
14;77,05;4;7;;;;;;;;;;;;;;
11;82,26;6;6;;;;;;;;;;;;;;
988;46,33;27;249;;;;;;;;;;;;;;
331;47,46;22;70;;;;;;;;;;;;;;
5;91,38;5;7;;;;;;;;;;;;;;
677;47,15;24;114;;;;;;;;;;;;;;
764;47,09;20;157;;;;;;;;;;;;;;
6;88,68;4;8;;;;;;;;;;;;;;
43;68,15;4;15;;;;;;;;;;;;;;
237;39,07;10;33;;;;;;;;;;;;;;
6;88,46;2;7;;;;;;;;;;;;;;
2732;45,15;31;802;;;;;;;;;;;;;;
18;88,08;6;25;;;;;;;;;;;;;;
1235;55,48;30;346;;;;;;;;;;;;;;
6;89,66;4;7;;;;;;;;;;;;;;
925;40,01;28;185;;;;;;;;;;;;;;
192;35,79;10;36;;;;;;;;;;;;;;
11;86,9;7;14;;;;;;;;;;;;;;
683;43,08;16;168;;;;;;;;;;;;;;
596;41,11;16;122;;;;;;;;;;;;;;
170;88,19;16;201;;;;;;;;;;;;;;
64;65,59;3;19;;;;;;;;;;;;;;
174;46,3;8;41;;;;;;;;;;;;;;
7;86,54;2;8;;;;;;;;;;;;;;
351;36,76;12;58;;;;;;;;;;;;;;
215;36,76;7;38;;;;;;;;;;;;;;
218;34,34;9;40;;;;;;;;;;;;;;
117;46,82;6;28;;;;;;;;;;;;;;
291;32,01;12;80;;;;;;;;;;;;;;
222;44,91;12;42;;;;;;;;;;;;;;
379;51,03;14;89;;;;;;;;;;;;;;
268;45,64;11;48;;;;;;;;;;;;;;
269;49,63;13;63;;;;;;;;;;;;;;
284;35,16;12;50;;;;;;;;;;;;;;
216;37,57;11;47;;;;;;;;;;;;;;
106;47,52;6;31;;;;;;;;;;;;;;
342;33,98;12;70;;;;;;;;;;;;;;
269;36,85;11;63;;;;;;;;;;;;;;
261;39,16;10;56;;;;;;;;;;;;;;
489;41,79;22;90;;;;;;;;;;;;;;
82;59,61;7;31;;;;;;;;;;;;;;
179;47,97;9;42;;;;;;;;;;;;;;
6;89,47;2;7;;;;;;;;;;;;;;
70;64,29;2;18;;;;;;;;;;;;;;
49;68,59;3;17;;;;;;;;;;;;;;
49;68,79;6;17;;;;;;;;;;;;;;
8;89,04;5;11;;;;;;;;;;;;;;
35;80,77;8;14;;;;;;;;;;;;;;
31;69,9;3;10;;;;;;;;;;;;;;
153;38,06;4;41;;;;;;;;;;;;;;
204;40,7;5;37;;;;;;;;;;;;;;
974;36,09;30;178;;;;;;;;;;;;;;
429;47,56;15;81;;;;;;;;;;;;;;
200;39,02;12;51;;;;;;;;;;;;;;
249;43,02;4;47;;;;;;;;;;;;;;
6;88,46;2;8;;;;;;;;;;;;;;
168;50,88;8;42;;;;;;;;;;;;;;
173;38,65;3;44;;;;;;;;;;;;;;
214;36,87;8;38;;;;;;;;;;;;;;
243;45,76;10;59;;;;;;;;;;;;;;
170;48,95;13;45;;;;;;;;;;;;;;
335;44,99;10;88;;;;;;;;;;;;;;
325;34,08;9;57;;;;;;;;;;;;;;
224;40,11;11;51;;;;;;;;;;;;;;
106;47,52;7;31;;;;;;;;;;;;;;
466;48,34;20;124;;;;;;;;;;;;;;
207;34,08;8;39;;;;;;;;;;;;;;
84;46,5;8;20;;;;;;;;;;;;;;
387;40,37;17;113;;;;;;;;;;;;;;
234;40,31;13;43;;;;;;;;;;;;;;
11;86,25;7;14;;;;;;;;;;;;;;
623;42,53;18;151;;;;;;;;;;;;;;
258;46,69;17;54;;;;;;;;;;;;;;
434;40,79;12;89;;;;;;;;;;;;;;
192;38,26;10;41;;;;;;;;;;;;;;
708;33,02;15;148;;;;;;;;;;;;;;
169;49,7;12;40;;;;;;;;;;;;;;
213;48,67;10;45;;;;;;;;;;;;;;
169;87,26;19;157;;;;;;;;;;;;;;
37;79,67;2;8;;;;;;;;;;;;;;
521;51,67;21;127;;;;;;;;;;;;;;
272;51,6;14;69;;;;;;;;;;;;;;
258;44,28;13;70;;;;;;;;;;;;;;
293;48,14;11;76;;;;;;;;;;;;;;
167;47,15;15;46;;;;;;;;;;;;;;
142;48,74;10;30;;;;;;;;;;;;;;
947;42,4;20;159;;;;;;;;;;;;;;
32;68,32;3;19;;;;;;;;;;;;;;
35;69,3;2;26;;;;;;;;;;;;;;
25;69,88;2;12;;;;;;;;;;;;;;
28;70,83;2;10;;;;;;;;;;;;;;
7;88,14;2;13;;;;;;;;;;;;;;
1575;42,73;9;500;;;;;;;;;;;;;;
398;29,81;8;81;;;;;;;;;;;;;;
156;34,73;4;22;;;;;;;;;;;;;;
6;88,46;2;9;;;;;;;;;;;;;;
5;90;2;8;;;;;;;;;;;;;;
18;77,78;3;8;;;;;;;;;;;;;;
221;50,11;5;43;;;;;;;;;;;;;;
143;38,63;4;19;;;;;;;;;;;;;;
10;82,76;2;7;;;;;;;;;;;;;;
82;44,59;2;19;;;;;;;;;;;;;;
97;35,76;3;18;;;;;;;;;;;;;;
365;34,94;5;80;;;;;;;;;;;;;;
110;41,18;3;18;;;;;;;;;;;;;;
155;38,74;4;24;;;;;;;;;;;;;;
226;38,42;4;39;;;;;;;;;;;;;;
113;37,91;3;19;;;;;;;;;;;;;;
29;66,28;3;11;;;;;;;;;;;;;;
147;37,71;2;29;;;;;;;;;;;;;;
43;57;2;6;;;;;;;;;;;;;;
30;63,86;2;9;;;;;;;;;;;;;;
72;50,68;2;12;;;;;;;;;;;;;;
65;53,24;4;21;;;;;;;;;;;;;;
30;61,54;2;11;;;;;;;;;;;;;;
7;91,03;3;12;;;;;;;;;;;;;;
7;86;2;7;;;;;;;;;;;;;;
5;89,58;2;8;;;;;;;;;;;;;;
116;46,05;2;28;;;;;;;;;;;;;;
24;85;4;18;;;;;;;;;;;;;;
85;53,04;2;20;;;;;;;;;;;;;;
43;51,14;3;17;;;;;;;;;;;;;;
46;66,18;2;21;;;;;;;;;;;;;;
32;69,52;2;22;;;;;;;;;;;;;;
98;55,86;2;41;;;;;;;;;;;;;;
229;54,29;2;75;;;;;;;;;;;;;;
18;71,43;3;6;;;;;;;;;;;;;;
51;64,83;3;15;;;;;;;;;;;;;;
137;49,63;11;40;;;;;;;;;;;;;;
12;78,18;5;7;;;;;;;;;;;;;;
204;46,03;8;30;;;;;;;;;;;;;;
126;52,99;9;23;;;;;;;;;;;;;;
108;51,35;10;25;;;;;;;;;;;;;;
4;90,91;4;6;;;;;;;;;;;;;;
393;43,78;6;108;;;;;;;;;;;;;;
97;56,5;8;21;;;;;;;;;;;;;;
37;75,97;7;17;;;;;;;;;;;;;;
176;46,67;7;30;;;;;;;;;;;;;;
119;46,64;6;35;;;;;;;;;;;;;;
469;41,38;13;100;;;;;;;;;;;;;;
180;54,55;9;54;;;;;;;;;;;;;;
6;91,78;4;10;;;;;;;;;;;;;;
88;50,84;5;23;;;;;;;;;;;;;;
95;53,43;8;28;;;;;;;;;;;;;;
89;53,89;4;24;;;;;;;;;;;;;;
